Input Prompt,Target Response
" hey, what's18/19?",18/19=0.9473684210526315
what's21+14?,21+14=35
what's20/8?,20/8=2.5
value of 7+6?,7+6=13
value of 2x9?,2x9=18
what's13+11?,13+11=24
value of 12x2?,12x2=24
What is 3/13?,3/13=0.23076923076923078
what's2/1?,2/1=2.0
" hey, what's15+11?",15+11=26
" hey, what's10-1?",10-1=9
value of 16x18?,16x18=288
" hey, what's21x3?",21x3=63
value of 16-9?,16-9=7
" hey, what's15/9?",15/9=1.6666666666666667
value of 5x5?,5x5=25
" hey, what's18-5?",18-5=13
value of 8/1?,8/1=8.0
" hey, what's8/11?",8/11=0.7272727272727273
what's13-9?,13-9=4
what's11-13?,11-13=-2
What is 13+19?,13+19=32
What is 2-10?,2-10=-8
What is 4-3?,4-3=1
" hey, what's12/13?",12/13=0.9230769230769231
What is 21-15?,21-15=6
what's14x14?,14x14=196
what's19x17?,19x17=323
value of 13x2?,13x2=26
value of 15/16?,15/16=0.9375
value of 8/8?,8/8=1.0
what's15+13?,15+13=28
value of 1/13?,1/13=0.07692307692307693
" hey, what's4+3?",4+3=7
what's2/4?,2/4=0.5
" hey, what's13x9?",13x9=117
value of 1/8?,1/8=0.125
what's8/12?,8/12=0.6666666666666666
" hey, what's1+10?",1+10=11
what's4-4?,4-4=0
value of 12/12?,12/12=1.0
value of 19-2?,19-2=17
what's18x1?,18x1=18
value of 4/5?,4/5=0.8
What is 10-17?,10-17=-7
" hey, what's10/4?",10/4=2.5
" hey, what's3/8?",3/8=0.375
What is 21/6?,21/6=3.5
" hey, what's7x6?",7x6=42
What is 18/4?,18/4=4.5
what's21+11?,21+11=32
" hey, what's12x2?",12x2=24
What is 14/17?,14/17=0.8235294117647058
" hey, what's19x15?",19x15=285
" hey, what's3x13?",3x13=39
What is 11-18?,11-18=-7
" hey, what's9+20?",9+20=29
what's8-1?,8-1=7
" hey, what's15x19?",15x19=285
What is 2-17?,2-17=-15
What is 20+8?,20+8=28
" hey, what's18+1?",18+1=19
What is 7+9?,7+9=16
What is 19x5?,19x5=95
what's15-14?,15-14=1
" hey, what's6-6?",6-6=0
" hey, what's16-7?",16-7=9
value of 19x15?,19x15=285
" hey, what's10x8?",10x8=80
" hey, what's19+8?",19+8=27
" hey, what's13/10?",13/10=1.3
What is 5x6?,5x6=30
" hey, what's18/3?",18/3=6.0
what's10x4?,10x4=40
value of 16x12?,16x12=192
What is 20x1?,20x1=20
What is 20x18?,20x18=360
What is 17/5?,17/5=3.4
what's7+12?,7+12=19
" hey, what's8+12?",8+12=20
what's9-11?,9-11=-2
what's1+8?,1+8=9
value of 18/4?,18/4=4.5
value of 19+14?,19+14=33
value of 14+8?,14+8=22
what's17/17?,17/17=1.0
What is 19-6?,19-6=13
what's2+1?,2+1=3
What is 14/11?,14/11=1.2727272727272727
what's9x6?,9x6=54
value of 9-4?,9-4=5
What is 11+20?,11+20=31
value of 14-6?,14-6=8
what's9-10?,9-10=-1
value of 13x17?,13x17=221
value of 9x7?,9x7=63
What is 10/3?,10/3=3.3333333333333335
What is 21x15?,21x15=315
What is 8+2?,8+2=10
What is 16/19?,16/19=0.8421052631578947
" hey, what's8-2?",8-2=6
value of 11+5?,11+5=16
What is 18-3?,18-3=15
value of 3+12?,3+12=15
what's4/19?,4/19=0.21052631578947367
What is 6x7?,6x7=42
What is 17x18?,17x18=306
value of 1+9?,1+9=10
what's14x17?,14x17=238
value of 2/10?,2/10=0.2
value of 20/13?,20/13=1.5384615384615385
value of 5/13?,5/13=0.38461538461538464
What is 1/20?,1/20=0.05
what's3+18?,3+18=21
what's2+6?,2+6=8
value of 12-6?,12-6=6
value of 20-19?,20-19=1
value of 3x13?,3x13=39
" hey, what's13x13?",13x13=169
value of 3x14?,3x14=42
what's16x8?,16x8=128
" hey, what's14x2?",14x2=28
" hey, what's3-2?",3-2=1
value of 1+1?,1+1=2
value of 3x20?,3x20=60
" hey, what's13+13?",13+13=26
" hey, what's12-16?",12-16=-4
value of 6/5?,6/5=1.2
What is 4+15?,4+15=19
value of 15+16?,15+16=31
value of 11+13?,11+13=24
What is 3+18?,3+18=21
value of 9/13?,9/13=0.6923076923076923
value of 19x5?,19x5=95
what's13/12?,13/12=1.0833333333333333
value of 21-8?,21-8=13
What is 1+8?,1+8=9
" hey, what's8-17?",8-17=-9
value of 2x16?,2x16=32
What is 18-17?,18-17=1
What is 15-5?,15-5=10
what's1/18?,1/18=0.05555555555555555
What is 3/14?,3/14=0.21428571428571427
what's9+20?,9+20=29
what's20-7?,20-7=13
" hey, what's19+11?",19+11=30
what's19-20?,19-20=-1
what's16/13?,16/13=1.2307692307692308
value of 19-14?,19-14=5
what's7-1?,7-1=6
What is 1x3?,1x3=3
" hey, what's14-20?",14-20=-6
what's11-5?,11-5=6
" hey, what's19x19?",19x19=361
What is 16/4?,16/4=4.0
What is 21-13?,21-13=8
what's15-20?,15-20=-5
" hey, what's16+12?",16+12=28
What is 13-10?,13-10=3
" hey, what's12+12?",12+12=24
value of 10+1?,10+1=11
what's7+15?,7+15=22
what's6x7?,6x7=42
what's19+16?,19+16=35
" hey, what's2-14?",2-14=-12
What is 16-6?,16-6=10
value of 2-7?,2-7=-5
value of 21+14?,21+14=35
what's4+12?,4+12=16
" hey, what's16+10?",16+10=26
what's20x20?,20x20=400
" hey, what's15+20?",15+20=35
what's9+1?,9+1=10
" hey, what's7/16?",7/16=0.4375
" hey, what's4x1?",4x1=4
what's5/4?,5/4=1.25
value of 9/1?,9/1=9.0
what's18-4?,18-4=14
" hey, what's2x5?",2x5=10
" hey, what's5+2?",5+2=7
" hey, what's18x11?",18x11=198
what's20-3?,20-3=17
What is 7+2?,7+2=9
What is 16x7?,16x7=112
" hey, what's15+9?",15+9=24
What is 6-8?,6-8=-2
" hey, what's9-5?",9-5=4
value of 20+12?,20+12=32
what's13-19?,13-19=-6
" hey, what's8+4?",8+4=12
What is 18x13?,18x13=234
what's20x9?,20x9=180
what's3/5?,3/5=0.6
what's8+10?,8+10=18
value of 15+1?,15+1=16
what's2/20?,2/20=0.1
what's3+13?,3+13=16
what's11-12?,11-12=-1
" hey, what's4-13?",4-13=-9
what's17/4?,17/4=4.25
What is 6-7?,6-7=-1
" hey, what's15/16?",15/16=0.9375
what's7x14?,7x14=98
" hey, what's9x17?",9x17=153
" hey, what's18+3?",18+3=21
what's21x16?,21x16=336
What is 11x11?,11x11=121
value of 11+10?,11+10=21
value of 7x13?,7x13=91
" hey, what's16x8?",16x8=128
value of 8x7?,8x7=56
" hey, what's2+9?",2+9=11
" hey, what's16-18?",16-18=-2
value of 11/17?,11/17=0.6470588235294118
What is 1x10?,1x10=10
What is 13+5?,13+5=18
" hey, what's16/8?",16/8=2.0
What is 6/2?,6/2=3.0
" hey, what's9x15?",9x15=135
what's1/2?,1/2=0.5
what's9x18?,9x18=162
what's5+9?,5+9=14
" hey, what's15+4?",15+4=19
what's11x19?,11x19=209
What is 10+8?,10+8=18
" hey, what's8x5?",8x5=40
" hey, what's7/7?",7/7=1.0
value of 17/8?,17/8=2.125
" hey, what's13x14?",13x14=182
" hey, what's21+16?",21+16=37
value of 3x16?,3x16=48
what's21/14?,21/14=1.5
value of 19/3?,19/3=6.333333333333333
" hey, what's1-14?",1-14=-13
value of 5x12?,5x12=60
" hey, what's18-19?",18-19=-1
what's4+17?,4+17=21
value of 7-2?,7-2=5
value of 10-11?,10-11=-1
what's18x12?,18x12=216
value of 19+6?,19+6=25
What is 3/20?,3/20=0.15
What is 9-5?,9-5=4
What is 15+14?,15+14=29
what's19x5?,19x5=95
" hey, what's20+3?",20+3=23
value of 6-10?,6-10=-4
value of 9+3?,9+3=12
What is 1+3?,1+3=4
" hey, what's4-6?",4-6=-2
" hey, what's5x6?",5x6=30
" hey, what's16/14?",16/14=1.1428571428571428
value of 1+16?,1+16=17
what's21/10?,21/10=2.1
what's9-7?,9-7=2
What is 17/17?,17/17=1.0
value of 19x8?,19x8=152
" hey, what's7/5?",7/5=1.4
What is 18/2?,18/2=9.0
What is 9+18?,9+18=27
what's7/3?,7/3=2.3333333333333335
What is 19/9?,19/9=2.111111111111111
What is 20/10?,20/10=2.0
what's21+5?,21+5=26
value of 16+13?,16+13=29
" hey, what's21/13?",21/13=1.6153846153846154
what's1x7?,1x7=7
" hey, what's2x1?",2x1=2
value of 12-11?,12-11=1
what's1-10?,1-10=-9
value of 16/20?,16/20=0.8
What is 10+1?,10+1=11
What is 6x6?,6x6=36
value of 3-6?,3-6=-3
" hey, what's7x13?",7x13=91
value of 20+4?,20+4=24
What is 13-13?,13-13=0
What is 8-12?,8-12=-4
what's5+20?,5+20=25
" hey, what's14x18?",14x18=252
what's13x20?,13x20=260
what's17-11?,17-11=6
what's15x9?,15x9=135
what's19/5?,19/5=3.8
what's20-1?,20-1=19
" hey, what's6/15?",6/15=0.4
What is 12+20?,12+20=32
" hey, what's21x2?",21x2=42
what's13/11?,13/11=1.1818181818181819
" hey, what's5-8?",5-8=-3
What is 3x1?,3x1=3
What is 12-5?,12-5=7
" hey, what's18x10?",18x10=180
what's21+19?,21+19=40
value of 17+5?,17+5=22
" hey, what's11-5?",11-5=6
What is 19/1?,19/1=19.0
what's13/18?,13/18=0.7222222222222222
What is 14/3?,14/3=4.666666666666667
value of 12x15?,12x15=180
value of 9+1?,9+1=10
" hey, what's17+2?",17+2=19
value of 18x5?,18x5=90
" hey, what's17x12?",17x12=204
What is 6x4?,6x4=24
what's10x3?,10x3=30
What is 8+16?,8+16=24
what's6x6?,6x6=36
What is 3-19?,3-19=-16
What is 3+20?,3+20=23
" hey, what's5+17?",5+17=22
value of 13-2?,13-2=11
" hey, what's6-1?",6-1=5
" hey, what's17+10?",17+10=27
What is 10+2?,10+2=12
" hey, what's17-19?",17-19=-2
What is 8+14?,8+14=22
value of 6-4?,6-4=2
What is 20+11?,20+11=31
" hey, what's17-15?",17-15=2
value of 7+20?,7+20=27
what's16x6?,16x6=96
what's5x20?,5x20=100
what's17+1?,17+1=18
value of 17/20?,17/20=0.85
" hey, what's16/19?",16/19=0.8421052631578947
what's20/18?,20/18=1.1111111111111112
what's12-7?,12-7=5
what's13+20?,13+20=33
value of 6x10?,6x10=60
value of 13x13?,13x13=169
value of 19x18?,19x18=342
what's3x2?,3x2=6
" hey, what's12-17?",12-17=-5
" hey, what's1x6?",1x6=6
what's15+6?,15+6=21
value of 5x13?,5x13=65
value of 6/16?,6/16=0.375
value of 8-18?,8-18=-10
What is 15/18?,15/18=0.8333333333333334
value of 16/14?,16/14=1.1428571428571428
what's3/10?,3/10=0.3
What is 12-15?,12-15=-3
value of 6x2?,6x2=12
what's5x14?,5x14=70
What is 11+6?,11+6=17
" hey, what's4-17?",4-17=-13
What is 2/3?,2/3=0.6666666666666666
What is 2/5?,2/5=0.4
" hey, what's8/18?",8/18=0.4444444444444444
" hey, what's14x17?",14x17=238
what's13x17?,13x17=221
what's20/7?,20/7=2.857142857142857
What is 20x8?,20x8=160
" hey, what's2+8?",2+8=10
" hey, what's5/9?",5/9=0.5555555555555556
what's2-12?,2-12=-10
" hey, what's3/3?",3/3=1.0
What is 6+5?,6+5=11
value of 12x9?,12x9=108
" hey, what's1x12?",1x12=12
value of 10-15?,10-15=-5
what's16+16?,16+16=32
What is 14+2?,14+2=16
what's7x19?,7x19=133
value of 5x9?,5x9=45
value of 6-9?,6-9=-3
What is 13+1?,13+1=14
what's16+8?,16+8=24
What is 7-8?,7-8=-1
what's1/15?,1/15=0.06666666666666667
What is 15/4?,15/4=3.75
value of 3x11?,3x11=33
What is 9-15?,9-15=-6
What is 12-7?,12-7=5
value of 5/3?,5/3=1.6666666666666667
what's16-11?,16-11=5
What is 14+13?,14+13=27
what's1-4?,1-4=-3
what's12-3?,12-3=9
What is 7x15?,7x15=105
" hey, what's17/15?",17/15=1.1333333333333333
value of 20+19?,20+19=39
" hey, what's13-12?",13-12=1
value of 1/12?,1/12=0.08333333333333333
What is 3x6?,3x6=18
" hey, what's13+8?",13+8=21
What is 11x14?,11x14=154
" hey, what's17-10?",17-10=7
what's16/3?,16/3=5.333333333333333
value of 12+5?,12+5=17
What is 15+18?,15+18=33
What is 19-1?,19-1=18
What is 1x17?,1x17=17
" hey, what's12x17?",12x17=204
what's20-5?,20-5=15
What is 11+7?,11+7=18
value of 10x17?,10x17=170
What is 16-18?,16-18=-2
value of 8x9?,8x9=72
What is 20/1?,20/1=20.0
" hey, what's19-18?",19-18=1
value of 21-1?,21-1=20
value of 16x1?,16x1=16
" hey, what's7x8?",7x8=56
What is 3-11?,3-11=-8
what's19/18?,19/18=1.0555555555555556
" hey, what's2-10?",2-10=-8
" hey, what's21-14?",21-14=7
What is 13x11?,13x11=143
What is 10+6?,10+6=16
What is 19/3?,19/3=6.333333333333333
What is 11/12?,11/12=0.9166666666666666
what's18-7?,18-7=11
what's21+20?,21+20=41
value of 16/13?,16/13=1.2307692307692308
value of 11-14?,11-14=-3
What is 9+13?,9+13=22
What is 19-4?,19-4=15
value of 4/18?,4/18=0.2222222222222222
value of 13/20?,13/20=0.65
value of 21-10?,21-10=11
what's16+6?,16+6=22
What is 4+13?,4+13=17
what's9+17?,9+17=26
" hey, what's17-6?",17-6=11
" hey, what's10/6?",10/6=1.6666666666666667
value of 18x3?,18x3=54
What is 17/6?,17/6=2.8333333333333335
what's16-3?,16-3=13
value of 13/16?,13/16=0.8125
" hey, what's10/9?",10/9=1.1111111111111112
" hey, what's5-16?",5-16=-11
What is 4x12?,4x12=48
what's2+3?,2+3=5
what's2/14?,2/14=0.14285714285714285
what's5+19?,5+19=24
" hey, what's14/2?",14/2=7.0
What is 20/3?,20/3=6.666666666666667
value of 16/7?,16/7=2.2857142857142856
value of 12/15?,12/15=0.8
what's15/16?,15/16=0.9375
value of 8+18?,8+18=26
What is 19-8?,19-8=11
what's14+17?,14+17=31
" hey, what's19/16?",19/16=1.1875
What is 21/9?,21/9=2.3333333333333335
what's5/3?,5/3=1.6666666666666667
what's13/10?,13/10=1.3
" hey, what's7x9?",7x9=63
" hey, what's13+4?",13+4=17
What is 19+18?,19+18=37
value of 15-13?,15-13=2
" hey, what's8-12?",8-12=-4
What is 6+8?,6+8=14
what's8-6?,8-6=2
" hey, what's3+8?",3+8=11
value of 5x14?,5x14=70
What is 12/20?,12/20=0.6
value of 7x8?,7x8=56
value of 15-20?,15-20=-5
what's16x12?,16x12=192
" hey, what's19x11?",19x11=209
value of 14/9?,14/9=1.5555555555555556
what's14+11?,14+11=25
what's6+19?,6+19=25
" hey, what's15-7?",15-7=8
What is 20x10?,20x10=200
" hey, what's6+15?",6+15=21
value of 9x15?,9x15=135
What is 3-10?,3-10=-7
value of 11x4?,11x4=44
" hey, what's7x12?",7x12=84
" hey, what's13/17?",13/17=0.7647058823529411
What is 16+7?,16+7=23
what's14-4?,14-4=10
what's16/20?,16/20=0.8
What is 16-8?,16-8=8
value of 13-9?,13-9=4
value of 3+4?,3+4=7
what's7x6?,7x6=42
value of 11x1?,11x1=11
" hey, what's11/3?",11/3=3.6666666666666665
What is 14x2?,14x2=28
value of 2x8?,2x8=16
" hey, what's2/18?",2/18=0.1111111111111111
What is 4x3?,4x3=12
What is 1-20?,1-20=-19
what's9/15?,9/15=0.6
What is 11/8?,11/8=1.375
" hey, what's15+15?",15+15=30
" hey, what's3-10?",3-10=-7
value of 6/13?,6/13=0.46153846153846156
" hey, what's18x8?",18x8=144
What is 18/14?,18/14=1.2857142857142858
what's1+1?,1+1=2
what's15+19?,15+19=34
value of 21x15?,21x15=315
What is 20+9?,20+9=29
what's12+19?,12+19=31
" hey, what's12x19?",12x19=228
" hey, what's12+2?",12+2=14
value of 20x5?,20x5=100
What is 1+11?,1+11=12
" hey, what's20+14?",20+14=34
" hey, what's16x4?",16x4=64
what's21-16?,21-16=5
" hey, what's8/10?",8/10=0.8
" hey, what's11+17?",11+17=28
" hey, what's11+1?",11+1=12
value of 8x6?,8x6=48
what's5-20?,5-20=-15
What is 21+20?,21+20=41
value of 1-3?,1-3=-2
" hey, what's20x13?",20x13=260
value of 18/20?,18/20=0.9
" hey, what's9/4?",9/4=2.25
value of 3x6?,3x6=18
What is 7-14?,7-14=-7
value of 15-4?,15-4=11
What is 11+11?,11+11=22
value of 17/19?,17/19=0.8947368421052632
value of 8x12?,8x12=96
What is 10+16?,10+16=26
value of 7/16?,7/16=0.4375
what's14+12?,14+12=26
value of 16-17?,16-17=-1
" hey, what's11-9?",11-9=2
What is 6+3?,6+3=9
" hey, what's21x19?",21x19=399
value of 12-13?,12-13=-1
value of 12/8?,12/8=1.5
value of 10/7?,10/7=1.4285714285714286
" hey, what's6x2?",6x2=12
value of 20x7?,20x7=140
value of 3x1?,3x1=3
What is 20+7?,20+7=27
" hey, what's13x12?",13x12=156
what's8/14?,8/14=0.5714285714285714
value of 10+19?,10+19=29
value of 13-18?,13-18=-5
what's2-1?,2-1=1
What is 14x16?,14x16=224
" hey, what's18x18?",18x18=324
What is 1-1?,1-1=0
what's10-19?,10-19=-9
What is 7/20?,7/20=0.35
" hey, what's12+11?",12+11=23
value of 18-10?,18-10=8
" hey, what's21/5?",21/5=4.2
" hey, what's19x8?",19x8=152
value of 9/9?,9/9=1.0
value of 5/15?,5/15=0.3333333333333333
what's20-18?,20-18=2
what's1-3?,1-3=-2
" hey, what's2x4?",2x4=8
What is 9-16?,9-16=-7
what's5+2?,5+2=7
" hey, what's11/15?",11/15=0.7333333333333333
what's18-12?,18-12=6
what's19+10?,19+10=29
" hey, what's11+7?",11+7=18
value of 7/11?,7/11=0.6363636363636364
What is 19x8?,19x8=152
what's8-18?,8-18=-10
value of 8/18?,8/18=0.4444444444444444
value of 4x17?,4x17=68
what's1+14?,1+14=15
value of 9/7?,9/7=1.2857142857142858
value of 15-7?,15-7=8
" hey, what's6x6?",6x6=36
What is 8+1?,8+1=9
what's17-16?,17-16=1
What is 13/2?,13/2=6.5
what's12-15?,12-15=-3
" hey, what's21/4?",21/4=5.25
What is 20/19?,20/19=1.0526315789473684
value of 1+6?,1+6=7
" hey, what's16+8?",16+8=24
what's18-9?,18-9=9
What is 1+5?,1+5=6
value of 21/17?,21/17=1.2352941176470589
" hey, what's21x4?",21x4=84
" hey, what's9/15?",9/15=0.6
What is 9+9?,9+9=18
value of 21/11?,21/11=1.9090909090909092
value of 5+1?,5+1=6
value of 18-17?,18-17=1
" hey, what's19-8?",19-8=11
what's14x6?,14x6=84
What is 1x19?,1x19=19
What is 19/2?,19/2=9.5
" hey, what's4x5?",4x5=20
What is 9+3?,9+3=12
value of 4+10?,4+10=14
what's2-13?,2-13=-11
" hey, what's4-11?",4-11=-7
" hey, what's14x20?",14x20=280
value of 9x1?,9x1=9
What is 11x1?,11x1=11
" hey, what's1x8?",1x8=8
value of 18/11?,18/11=1.6363636363636365
value of 21+11?,21+11=32
What is 2/11?,2/11=0.18181818181818182
value of 4-2?,4-2=2
What is 5/13?,5/13=0.38461538461538464
what's10-4?,10-4=6
what's18-11?,18-11=7
what's9-8?,9-8=1
" hey, what's14-7?",14-7=7
value of 16-14?,16-14=2
What is 15+6?,15+6=21
" hey, what's19-19?",19-19=0
" hey, what's10/20?",10/20=0.5
What is 19x13?,19x13=247
what's10+10?,10+10=20
What is 4x18?,4x18=72
what's14x9?,14x9=126
what's21+13?,21+13=34
" hey, what's9/13?",9/13=0.6923076923076923
What is 16+2?,16+2=18
" hey, what's14/12?",14/12=1.1666666666666667
value of 11+16?,11+16=27
" hey, what's2/4?",2/4=0.5
" hey, what's14/10?",14/10=1.4
What is 14x3?,14x3=42
What is 1/13?,1/13=0.07692307692307693
what's9-5?,9-5=4
what's15x10?,15x10=150
What is 11-19?,11-19=-8
what's1+2?,1+2=3
value of 12-9?,12-9=3
what's3-20?,3-20=-17
What is 2+1?,2+1=3
value of 8/3?,8/3=2.6666666666666665
what's3-5?,3-5=-2
" hey, what's17x18?",17x18=306
what's2-18?,2-18=-16
what's11/14?,11/14=0.7857142857142857
value of 15+11?,15+11=26
What is 4x20?,4x20=80
What is 17+18?,17+18=35
what's12/10?,12/10=1.2
value of 19-13?,19-13=6
What is 19/16?,19/16=1.1875
" hey, what's9+1?",9+1=10
value of 3/17?,3/17=0.17647058823529413
what's14/20?,14/20=0.7
value of 21+6?,21+6=27
value of 9/2?,9/2=4.5
what's14/1?,14/1=14.0
value of 16x7?,16x7=112
what's12+1?,12+1=13
" hey, what's18+6?",18+6=24
" hey, what's11x14?",11x14=154
what's19-11?,19-11=8
What is 4/19?,4/19=0.21052631578947367
value of 15-3?,15-3=12
value of 21x20?,21x20=420
what's10+7?,10+7=17
What is 21-17?,21-17=4
" hey, what's2-5?",2-5=-3
" hey, what's7-15?",7-15=-8
" hey, what's20x9?",20x9=180
value of 8/15?,8/15=0.5333333333333333
what's5x10?,5x10=50
What is 8/2?,8/2=4.0
value of 6x11?,6x11=66
what's20x3?,20x3=60
What is 17-15?,17-15=2
" hey, what's4-9?",4-9=-5
what's8/3?,8/3=2.6666666666666665
value of 12-16?,12-16=-4
" hey, what's15+3?",15+3=18
what's14/5?,14/5=2.8
value of 7/3?,7/3=2.3333333333333335
What is 19-18?,19-18=1
What is 15-17?,15-17=-2
" hey, what's5-2?",5-2=3
what's6-17?,6-17=-11
" hey, what's6x7?",6x7=42
what's17x7?,17x7=119
what's13/15?,13/15=0.8666666666666667
What is 5x7?,5x7=35
what's21+4?,21+4=25
what's7-20?,7-20=-13
what's11/17?,11/17=0.6470588235294118
" hey, what's12+5?",12+5=17
" hey, what's3/18?",3/18=0.16666666666666666
what's16-8?,16-8=8
What is 17+1?,17+1=18
What is 16-11?,16-11=5
" hey, what's21x7?",21x7=147
what's1x4?,1x4=4
What is 5/19?,5/19=0.2631578947368421
What is 1+17?,1+17=18
what's19x10?,19x10=190
what's15-15?,15-15=0
What is 5x2?,5x2=10
what's7/20?,7/20=0.35
what's19/7?,19/7=2.7142857142857144
value of 17-12?,17-12=5
" hey, what's8-1?",8-1=7
value of 8-9?,8-9=-1
value of 4-17?,4-17=-13
What is 9x13?,9x13=117
" hey, what's13+2?",13+2=15
what's1-12?,1-12=-11
What is 9x6?,9x6=54
What is 6x15?,6x15=90
What is 10x6?,10x6=60
what's8/9?,8/9=0.8888888888888888
value of 2+20?,2+20=22
value of 21x13?,21x13=273
" hey, what's9+19?",9+19=28
" hey, what's14/20?",14/20=0.7
What is 11x7?,11x7=77
What is 5-8?,5-8=-3
" hey, what's9-14?",9-14=-5
" hey, what's12/5?",12/5=2.4
value of 7-13?,7-13=-6
What is 2/15?,2/15=0.13333333333333333
value of 9+2?,9+2=11
" hey, what's2-9?",2-9=-7
What is 15x7?,15x7=105
value of 18x2?,18x2=36
value of 10-17?,10-17=-7
What is 3+17?,3+17=20
value of 5/8?,5/8=0.625
What is 6-17?,6-17=-11
what's1/8?,1/8=0.125
value of 19-9?,19-9=10
" hey, what's21+5?",21+5=26
What is 12-20?,12-20=-8
" hey, what's8/14?",8/14=0.5714285714285714
" hey, what's6x14?",6x14=84
What is 14x17?,14x17=238
what's11/12?,11/12=0.9166666666666666
" hey, what's7+12?",7+12=19
value of 3x18?,3x18=54
what's16x17?,16x17=272
what's11-14?,11-14=-3
What is 16x19?,16x19=304
what's21+10?,21+10=31
what's8+18?,8+18=26
what's3/20?,3/20=0.15
value of 15x17?,15x17=255
" hey, what's12x6?",12x6=72
what's15+18?,15+18=33
" hey, what's9x4?",9x4=36
" hey, what's18x3?",18x3=54
value of 14x19?,14x19=266
value of 15+17?,15+17=32
" hey, what's19x16?",19x16=304
what's15x19?,15x19=285
What is 4-16?,4-16=-12
value of 1/3?,1/3=0.3333333333333333
What is 8-18?,8-18=-10
" hey, what's1/2?",1/2=0.5
value of 9-3?,9-3=6
value of 20/20?,20/20=1.0
what's16/17?,16/17=0.9411764705882353
What is 11-12?,11-12=-1
" hey, what's15x7?",15x7=105
what's20x14?,20x14=280
What is 17x17?,17x17=289
" hey, what's5/2?",5/2=2.5
what's6x15?,6x15=90
What is 5x20?,5x20=100
what's2/7?,2/7=0.2857142857142857
" hey, what's7x4?",7x4=28
What is 1/6?,1/6=0.16666666666666666
what's2-8?,2-8=-6
What is 6x5?,6x5=30
" hey, what's19-12?",19-12=7
what's11x9?,11x9=99
what's16-9?,16-9=7
what's3+12?,3+12=15
" hey, what's19x3?",19x3=57
What is 9x20?,9x20=180
What is 13+6?,13+6=19
what's2x13?,2x13=26
What is 8/1?,8/1=8.0
What is 14+17?,14+17=31
what's19+13?,19+13=32
What is 21x12?,21x12=252
value of 14-4?,14-4=10
what's15/15?,15/15=1.0
What is 6x18?,6x18=108
" hey, what's15+8?",15+8=23
" hey, what's1+11?",1+11=12
value of 12x16?,12x16=192
What is 19x20?,19x20=380
value of 7x4?,7x4=28
what's20+6?,20+6=26
what's21-18?,21-18=3
What is 14+20?,14+20=34
" hey, what's8x8?",8x8=64
What is 21-8?,21-8=13
What is 14/18?,14/18=0.7777777777777778
value of 20-18?,20-18=2
value of 6/4?,6/4=1.5
" hey, what's16x16?",16x16=256
what's20+8?,20+8=28
What is 21-12?,21-12=9
what's4+3?,4+3=7
value of 16/18?,16/18=0.8888888888888888
" hey, what's2+2?",2+2=4
What is 1+7?,1+7=8
What is 11-3?,11-3=8
What is 20-15?,20-15=5
" hey, what's20+6?",20+6=26
what's2x16?,2x16=32
" hey, what's10-19?",10-19=-9
what's14+10?,14+10=24
value of 4/2?,4/2=2.0
" hey, what's3x5?",3x5=15
value of 2x3?,2x3=6
value of 21+13?,21+13=34
what's10+6?,10+6=16
what's1x16?,1x16=16
What is 9/16?,9/16=0.5625
" hey, what's12-14?",12-14=-2
" hey, what's20+9?",20+9=29
" hey, what's6x17?",6x17=102
" hey, what's8+9?",8+9=17
value of 17x17?,17x17=289
" hey, what's13-5?",13-5=8
what's16+2?,16+2=18
value of 7-20?,7-20=-13
what's8x3?,8x3=24
what's15/6?,15/6=2.5
" hey, what's13/13?",13/13=1.0
What is 19-13?,19-13=6
" hey, what's1x9?",1x9=9
what's18/3?,18/3=6.0
What is 5/4?,5/4=1.25
what's20/3?,20/3=6.666666666666667
what's3/7?,3/7=0.42857142857142855
what's2-16?,2-16=-14
What is 5x1?,5x1=5
" hey, what's12-2?",12-2=10
what's14x11?,14x11=154
what's10+13?,10+13=23
what's3+3?,3+3=6
What is 10x7?,10x7=70
What is 11-20?,11-20=-9
what's3+7?,3+7=10
what's21x17?,21x17=357
value of 3/13?,3/13=0.23076923076923078
What is 7-2?,7-2=5
What is 3x20?,3x20=60
" hey, what's18x14?",18x14=252
" hey, what's13-18?",13-18=-5
What is 4+9?,4+9=13
value of 15+4?,15+4=19
what's5-8?,5-8=-3
" hey, what's2/12?",2/12=0.16666666666666666
value of 19x10?,19x10=190
value of 10-14?,10-14=-4
what's13x15?,13x15=195
value of 10/4?,10/4=2.5
what's18-18?,18-18=0
value of 13+3?,13+3=16
value of 14+9?,14+9=23
what's8+9?,8+9=17
what's6+1?,6+1=7
" hey, what's21/3?",21/3=7.0
what's15+4?,15+4=19
what's9x20?,9x20=180
value of 21/16?,21/16=1.3125
What is 11/5?,11/5=2.2
What is 20x3?,20x3=60
" hey, what's15-13?",15-13=2
What is 21-1?,21-1=20
value of 13x8?,13x8=104
what's8/1?,8/1=8.0
value of 14/18?,14/18=0.7777777777777778
What is 1+19?,1+19=20
" hey, what's7x2?",7x2=14
" hey, what's16-3?",16-3=13
what's16x16?,16x16=256
What is 16-1?,16-1=15
what's21+1?,21+1=22
value of 15+7?,15+7=22
what's7+8?,7+8=15
value of 4-19?,4-19=-15
What is 15/16?,15/16=0.9375
value of 2x19?,2x19=38
value of 17+8?,17+8=25
what's3/9?,3/9=0.3333333333333333
" hey, what's16x6?",16x6=96
What is 18+16?,18+16=34
